,text,author,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,"🔥🙈🔥 The Most Anticipated Event Is Now Here 🔥🙈🔥 

 $OKT Trading schedule is LIVE now 😍🚀 

OKT Spot Trading : ⏰⏰
OKT/USDT, OKT/BTC, OKT/ETH : 8:00am January 18, 2021 (UTC) 

 We have enabled literally ZERO% trading fees on the OKT trading pairs 💰😉 

Announcement Link ⬇️ https://www.okex.com/support/hc/en-us/articles/360055512511

 #BuyOKT #NoMakerfee #NoTakerfee",210944655,,,,,,,,,,,,,,,
1,"To understand how to earn, check and redeem your community points, check out: https://telegra.ph/Guide-to-OKEx-Community-Points-12-04",210944655,,,,,,,,,,,,,,,
2,"Q. Which area are you focusing on at the moment? (DeFi, Stake,Dapps..) and what is your goals in this year ?",210944655,,,,,,,,,,,,,,,
3,"#TGIF You wouldn't want to miss our 7th Happy Friday 🥳 

This week with OKEx, users get to enjoy 🎁:
🔘 20% share of our Futures & Perpetual Swap income

🔘 Lucky Draws 🎰: 20 ✈️ tickets worth 600 $USDT + rebate cards totaling 20,000 USDT

Join now
Learn more here: https://twitter.com/OKEx/status/1350007548565454849?s=20",210944655,,,,,,,,,,,,,,,
4,"Check out the top FAQs for OKEx Unified Account: https://telegra.ph/OKEx-Unified-Account-FAQ-12-23

Full tutorial: https://www.okex.com/academy/en/okex-unified-account-overview-tutorial",210944655,,,,,,,,,,,,,,,
5,"Hi Vignigbe Prudence Raphaël, Afaq Ashraf, Vipvip Vip, Asbi Rasyid, dadang kurniawan, Anil Bamaniya, Yasar Snc, Bonnie Crystal, Fatima Ibrahim Yanna & 杨 斌, welcome to OKEx! Feel free to join our pinned event and enjoy interacting with our fellow group members.",210944655,,,,,,,,,,,,,,,
6,What are the plans to educate and raise awareness and adoption among the community to make more people understand about the project easily?,210944655,,,,,,,,,,,,,,,
7,"📈 Feel free to participate in OKEx trading competitions 📉

Ongoing right now:
OKEx Unified Account Elite Competition for 260k$ Prize Pool
Discover 2021 with OKEx
RIO Trading Event for $50k Prize Pool
LON Trading Event for $40k Prize Pool
Trade 1INCH for $30k Prize Pool",210944655,,,,,,,,,,,,,,,
8,Where does the project name come from? What does it mean for you and why did you choose that name for your project???,210944655,,,,,,,,,,,,,,,
9,"As a community based project, how can I donate my quota for your success? Do you have a Global Ambassador Program or a Referral Rewards System?
Thanks",210944655,,,,,,,,,,,,,,,
10,"🔥Group Campaigns This Week🔥

☄️ Unified Account Elite Competition
💰 260,000 USDT prize pool
⏰ Dec 14 - Jan 6
🔗 https://www.okex.com/team-trade/join-team/2328

✅ $RIO AMA with Derek Boirun, Funder and CEO
🧧1000 RIO participation rewards to be won during the AMA
🗓 Dec 23 13:00 UTC 
🎁 Trade RIO on OKEx to share $50,000 prize pool 🥳
🔗 https://t.me/OKExOfficial_English/1162241

🎄Holiday Season Special
💰$5,500 Prize Pool 
⏰ 5 Days ONLY  00:00 Dec 21 - 23:59 Dec 25 (UTC)
🔗 https://t.me/OKExOfficial_English/1127216",210944655,,,,,,,,,,,,,,,
11,No as my strategy buy uni take a pair with any farming token at a dip and farm it if it's go up then profit and down then also will profit,210944655,,,,,,,,,,,,,,,
12,"Sign up & Trade: https://www.okex.com/academy/en/start-trading-cryptocurrency-on-okex?channelFlag=ACEAP4502833
OKEx 101 New User Tutorial database:  https://telegra.ph/OKEx-101-New-User-Tutorial-10-12",210944655,,,,,,,,,,,,,,,
13,"1️⃣If you're looking for assistance with your account, then please submit a request. https://www.okex.com/account/support
2️⃣Alternatively, you can initiate a live chat session with the Support team through the chat icon that you'll find at the upper right corner of the okex.com website or contact customer service via support@okex.com.
3️⃣If you're looking for quality content that will help you to understand blockchain and cryptocurrencies, please visit OKEx Academy.(https://www.okex.com/academy/en)",210944655,,,,,,,,,,,,,,,
14,bro if you notice this scammer is not in this group. Scammer is messaging you from outside. You can report to @notoscam as OKEx have clearly announced that there is no customer service or support for Telegram. If we want support assistance the only way is to submit support ticket or email them.,210944655,,,,,,,,,,,,,,,
15,"It won’t unless they can control the money flow, so, if they can control, it is not a privacy thing any longer",210944655,,,,,,,,,,,,,,,
16,"SKEY is a brilliant, live project already in use by polish council in Olsztyn City for emergency services and Korean Kia Motors.. 
Huge partnerships with: KIA motors, Teltonika, Ferguson, Chainlink, Waves etc... 
Massive use cases. 
Project under superb experience tech team.. 
Mate literally it is a Winner u can not missed and it is one of ""Must have in portfolio!""
SKEY = BULLISH🚀",210944655,,,,,,,,,,,,,,,
17,"COVID 19 has slowed many economies around the world but as a crypto business has it affected you negatively or positively? Secondly, are you still on track to achieve your targets as the road map says??",210944655,,,,,,,,,,,,,,,
18,"#AMA 🗣: Our CEO @JayHao8
Will be sharing his insights on the newly designed #blockchain protocol - #OKExChain 
Date : Jan 15 2021 
Time : 12pm (UTC)",210944655,,,,,,,,,,,,,,,
19,"In the long run, why should we trust and follow you and your project? How do you raise awareness and elimination of the doubts of investors / partners / customers?.?",210944655,,,,,,,,,,,,,,,
20,"Sign up & Trade: https://www.okex.com/academy/en/start-trading-cryptocurrency-on-okex?channelFlag=ACEAP4502833
OKEx 101 New User Tutorial database:  https://telegra.ph/OKEx-101-New-User-Tutorial-10-12",210944655,,,,,,,,,,,,,,,
21,"Sign up & Trade: https://www.okex.com/academy/en/start-trading-cryptocurrency-on-okex?channelFlag=ACEAP4502833
OKEx 101 New User Tutorial database:  https://telegra.ph/OKEx-101-New-User-Tutorial-10-12",210944655,,,,,,,,,,,,,,,
22,"De-fi and yield farming grows everydays, so do you plan to add more features for Tokenlon on those topics?",210944655,,,,,,,,,,,,,,,
23,"COVID 19 has slowed many economies around the world but as a crypto business has it affected you negatively or positively? Secondly, are you still on track to achieve your targets as the road map says??",210944655,,,,,,,,,,,,,,,
24,"❗️ Important Reminder ❗️ #rule

✅Our community is for constructive and positive discussions. 
❌Admins will NOT take the initiative to message you privately to solve problems.
❌Don’t share confidential personal information in private chats, and don't make transactions of any kind at all.
❗️ Be cautious of anyone who claims to be an admin.
❗️ Should you have any inquiries, please contact our online admins.

If you need any support regarding account, deposit& withdrawal issues, please contact our customer support via following channels:

1⃣Contact Customer Support HERE
2⃣Email support@okex.com💌
3⃣OKEx Announcements 
4⃣Sign up for an OKEx Account Here 

📲 Download App via Android / IOS 

📌Notice: Advertisement, spam, verbal abuse, threats, personal attacks or pornographic images will not be tolerated. Please avoid maliciously spread of FUD related to OKEx and other projects. Admins have absolute authority to moderate messages and users when there is a violation of the above rules.

💙Best regards, OKEx Telegram Team 💙",210944655,,,,,,,,,,,,,,,
25,"Seeing that lately there are more and more similar Defi projects, what are the main advantages of lon compared to other projects? 
@lucashuang",210944655,,,,,,,,,,,,,,,
26,"In the past few hours, a few altcoins climbed over 5%, including DOT, ADA, BNB, CHSB, TFUEL, STX, ATOM, FTT, ICX, REP, and BNT.",210944655,,,,,,,,,,,,,,,
27,A year has passed and now 2021 is the beginning of good. And do you have a plan for yourself to make the project grow rapidly or not? What are your goals for this year and do you think you will achieve it?,210944655,,,,,,,,,,,,,,,
28,"Trust and security is very important in any business , what makes investors , customer and users safe secure when working with Tokenlon?",210944655,,,,,,,,,,,,,,,
29,"1️⃣If you're looking for assistance with your account, then please submit a request. https://www.okex.com/account/support
2️⃣Alternatively, you can initiate a live chat session with the Support team through the chat icon that you'll find at the upper right corner of the okex.com website or contact customer service via support@okex.com.
3️⃣If you're looking for quality content that will help you to understand blockchain and cryptocurrencies, please visit OKEx Academy.(https://www.okex.com/academy/en)",210944655,,,,,,,,,,,,,,,
30,"Could you please tell me just a little more about the team and some of their backgrounds? I have personally seen many projects launch with inexperienced team members, and some of those didn’t go so well due to easily avoidable mistakes.?",210944655,,,,,,,,,,,,,,,
31,How important is the community to you?  and how can we collaborate or help you for the development of the project?,210944655,,,,,,,,,,,,,,,
32,"Guys, check here, found it from their website @Mrcgp_0 
@Mmoraal

Based on the deposit voting from the community, the top three projects are MXC, POLS, PHA. Please take note of the following go-live schedule:

1. MXC Spot Trading: MXC/USDT 06:00 am, MXC/ETH 07:00 am Jan 27, 2021 (UTC);
2. POLS Spot Trading: POLS/USDT 06:00 am, POLS/ETH 07:00 am Jan 27, 2021 (UTC);
3. PHA Spot Trading: PHA/USDT 06:00 am, PHA/ETH 07:00 am Jan 27, 2021 (UTC);
4. MXC, POLS, PHA Withdrawal: 10:00 am Jan 28, 2021 (UTC)
5. The “Withdraw” of CRU, MATH : 10:00 am Jan 27, 2021 (UTC)",210944655,,,,,,,,,,,,,,,
33,Southeast Asia is a very vibrant market and many project developed here so with your project what do you think about Southeast Asia and do you have any plan to develop here?,210944655,,,,,,,,,,,,,,,
34,Hello @rprakib  welcome to OKEx! Please feel free to join our pinned event and enjoy interacting with our fellow group members.,210944655,,,,,,,,,,,,,,,
35,"On other platforms, users are constantly clamoring forimprovements without being heard. How does LON deliver power to the players over the project and development within it?",210944655,,,,,,,,,,,,,,,
36,What’s the best way for the community to learn more about Tokenlon and to keep updated about Tokenlon?,210944655,,,,,,,,,,,,,,,
37,"Sorry about that. We are experiencing high volume of KYC submission and our verification team is working to resolve this as soon as possible. If your verification is pending for more than 3 days, you may then PM me with your UID for me to check further.",210944655,,,,,,,,,,,,,,,
38,"🔥Group Campaigns🔥

☄️ Unified Account Elite Competition
💰 260,000 USDT prize pool
⏰ Dec 14 - Jan 6
🔗 https://www.okex.com/team-trade/join-team/2328

Discover 2️⃣0️⃣2️⃣1️⃣ with #OKEx
✅ TRADE or DEPOSIT to enter Lucky Draw
💰Cash Reward + Rebate Card + Redeemable Community Points
⏰ 00:00 Dec 28 - 23:59 Jan 4 (UTC)
➡️ Try My Luck Now 

‼️Predict the price of OKB @ 10:00 Dec 31 
💰10 closest predictions to share $100 prize pool
⏰ Submit before  00:00 Dec 31 
➡️ Register

💥Deposit & Trade 1INCH to Share 30,000 USDT!
⏰00:00 Dec.25, 2020 - 00:00, Jan 4, 2021
➡️ Click to join

📈TRADE RIO to share 50,000 USDT 💰Pool
➡️ Wait no more, Join Now! 🥳

🧧Deposit & Trade LON to share 40,000 USDT 
⏰ 23 Dec 2020 (00:30 UTC) – 1 Jan 2021 (06:00 UTC)
➡️ Wait no further, join now!

*All time stated are in UTC",210944655,,,,,,,,,,,,,,,
39,"📣OKEx Unified Account AMA📣

🏵Join us on Thursday to understand more about our latest Unified Account with OKEx Director of Financial Market, Lennix.

🗓21 Jan, 13:00UTC Thursday

Register and submit your questions here now for a chance to be FEATURED and receive a USDT10 Rebate Card REWARD !",210944655,,,,,,,,,,,,,,,
40,"What was your idea when starting with  tokenlon rather than another name and what was your motivation to start with that?

Which countries are the main markets that  token lon is focusing now for high level marketing?",210944655,,,,,,,,,,,,,,,
41,I SAW THAT SECURITY & PRIVACY ARE THE MAIN FEATURES OF your platform that’s great. Tell us in details about what programmable technology & security developed by your team to build the platform very secure?,210944655,,,,,,,,,,,,,,,
42,"Can you give us an overview of LON token economics? Is the token designed to rise and fall with the success of the platform, and does it include any scarcity paths such as stake, store, or burn?",210944655,,,,,,,,,,,,,,,
43,"As a self defined community driven platform, what power is held by the Tokenlon community and how can them make use of it?",210944655,,,,,,,,,,,,,,,
44,"📣OKEx Unified Account AMA📣

🏵Join us on Thursday to understand more about our latest Unified Account with OKEx Director of Financial Market, Lennix.

🗓21 Jan, 13:00UTC Thursday

Register and submit your questions here now for a chance to be FEATURED and receive a USDT10 Rebate Card REWARD !",210944655,,,,,,,,,,,,,,,
45,"I’m a developer, and I’m interested in contributing to your project  alongsides earning, Do you have any Bug Bounty to check for vulnerabilities ??",210944655,,,,,,,,,,,,,,,
46,"Hi, there is no official announcement to date in regards to this listing. Kindly wait for the official announcement as all new listings will be officially announced in all OKEx official social media and announcement page. Thank you.",210944655,,,,,,,,,,,,,,,
47,50 USDT Prize was unlocked!🔥 Most of the members here think that $BTC will pump this weekend! Vote for your favorite token and win $70 USDT prize!,210944655,,,,,,,,,,,,,,,
48,"we are known that uniswap, 1inch and other popular exchanger bring up airdrop for their members....so tokenlop have any plan for bring airdrop or any surprise for tokenlop members???@lucashuang",210944655,,,,,,,,,,,,,,,
49,"Sign up & Trade: https://www.okex.com/academy/en/start-trading-cryptocurrency-on-okex?channelFlag=ACEAP4502833
OKEx 101 New User Tutorial database:  https://telegra.ph/OKEx-101-New-User-Tutorial-10-12",210944655,,,,,,,,,,,,,,,
50,Please tell us more about farming on your platform. How can I get LON tokens and on which trading platform can I sell,210944655,,,,,,,,,,,,,,,
51,"As a community based project, how can I donate my quota for your success? Do you have a Global Ambassador Program or a Referral Rewards System?
ThanksAs a community based project, how can I donate my quota for your success? Do you have a Global Ambassador Program or a Referral Rewards System?
Thanks",210944655,,,,,,,,,,,,,,,
52,Could you please share more light on security side of #lon ecosystem? How secure is the #lon structure? What measures have been taken?,210944655,,,,,,,,,,,,,,,
53,"What was your inspiration throughout the journey of LON? How has the artistic and creative vision 
of LON changed throughout its development?",210944655,,,,,,,,,,,,,,,
54,"🔥Group Campaigns🔥

🍷OKEx x Vintage Grand Cru Crypto-Wine Pairing Giveaway 🍷
🗓 Now until15 Jan, 23:59 Friday
🏵 Pair up the right wine and tokens to win Vintage Grand Cru and $200 Prize Pool
✅ Submit your answer here

🗣 AMA with OKEx CEO Jay Hao on OKExChain (blockchain protocol)
🗓 Jan15 12:00, Friday

📣OKEx Product Survey📣
🗓 Now until15 Jan, 18:00 Friday
✅Complete the survey here
 🎁20 lucky winners will receive a 20 USDT rebate card!

*All time stated are in UTC",210944655,,,,,,,,,,,,,,,
